State,Tobacco,Housing
Alabama,179929,2274565
Alaska,55500,318336
Arizona,312808,3035669
Arkansas,226728,1380504
California,2428121,14277157
Colorado,193881,2424051
Connecticut,376814,1521117
Delaware,123026,438693
"Washington, D.C.",27956,319531
Florida,1172492,9547305
Georgia,224910,4326105
Hawaii,120386,546213
Idaho,51141,735672
Illinois,764296,5376064
Indiana,418810,2903554
Iowa,212469,1409650
Kansas,130247,1280774
Kentucky,228749,1995182
Louisiana,163770,2076028
Maine,132950,746596
Maryland,372724,2458801
Massachusetts,594173,2914929
Michigan,1007822,4614380
Minnesota,593410,2456064
Mississippi,139733,1332577
Missouri,97408,2806371
Montana,80532,515175
Nebraska,57123,845042
Nevada,177161,1268633
New Hampshire,212698,638091
New Jersey,660315,3628302
New Mexico,93862,943208
New York,1151660,8363934
North Carolina,292143,4684876
North Dakota,28001,377649
Ohio,941105,5217423
Oklahoma,313411,1743069
Oregon,263860,1788681
Pennsylvania,1372695,5713150
Rhode Island,146691,469157
South Carolina,27199,2318271
South Dakota,59158,397526
Tennessee,248673,2992279
Texas,1440336,11100779
Utah,114492,1108763
Vermont,71078,337110
Virginia,160383,3538847
Washington,422264,3148129
West Virginia,177840,893778
Wisconsin,617415,2710723
Wyoming,22076,278595